HAL Bangalore Airport,12968,864,12.95,77.668333333333,Local Business,Hotel
Bangalore airport,7930,456,13.201034549776,77.709107606573,Airport,Airport
Bangalore International Airport-HMS,1,18,13.03799,77.59307,Industrials,Industrials
Bharati Vidyalaya (Old Airport Road - Bangalore),13,284,12.95909,77.66046,School,School,School
Hotel Airport gateway Bangalore,157,211,13.14711,77.61962,Local Business,Hotel
Hotel Airport Gateway Bangalore,23,39,13.1980305,77.6566696,Hotel,Hotel
"Jspiders - old airport road,Bangalore",134,1803,12.8524945,77.6687747,Education,Technical Institute,Education
Kempe gowda international airport bangalore,276352,9999,13.200708663072,77.709153799369,Tours/Sightseeing,Airport Terminal,Airport,Tours & Sightseeing
Orange Suites Airport Transit Stay Bangalore,103,129,13.163423264084,77.63214379549,Hotel,Bed and Breakfast,Hotel
Arra Suites - Transit Airport Hotel Bangalore,265,1069,13.157620903257,77.625368506111,Airport,Hotel,Airport
Bangalore airport taxi,0,12,12.998624229337,77.554964032017,Tours/Sightseeing,Tours & Sightseeing
"Bangalore International Airport Metro,BIA Metro",125,67,12.9833,77.5833,Transportation,Train Station,Railroad,Airport Terminal
Airport Pickup and Drop Taxi in Bangalore,0,15,13.00186,77.57519,Tours/Sightseeing,Tours & Sightseeing,Taxi
Airport Pickup and Drop Cabs in Bangalore,0,18,13.00186,77.57519,Transportation,Car Rental
"Bengaluru Airport, Bangalore",1256,165,12.9442299,77.50433,Airport,Airport,Airline
Bangalore Domestic Airport - Departure,7894,199,13.201076,77.70862,Local Business,Airport Terminal,Airport
Bangalore International Airport - Departure,23852,560,13.2009318,77.7105706,Local Business,Airport
"Bangalore Airport, Domestic Terminal",42792,824,13.200852984578,77.709270146039,Local Business,Airport
Bangalore International Airport limited,4036,96,13.193496297797,77.649827607627,Local Business,Airport
Justbake Old Airport Road,4,522,12.959770208138,77.64965057373,Food/Grocery,Bakery
Tranzotel Airport Hotel Bangalore,0,0,13.1470732728,77.620610296726,Hotel,Hotel,Bed and Breakfast
Customs Bengaluru Airport,11,1207,13.19952,77.69931,Government Organization,Government Organization
Above Ground Levell Lounge - Bengaluru Airport,2956,1794,13.199754990987,77.701835632324,Restaurant/Cafe,Airport Lounge
Kolkata Airports Going to Bangalore,2,0,22.5697,88.3697,Local Business,Advertising Service
"Air India SATS Cool Port, Bangalore International Airport",4,0,13.2002591,77.7087857,Local Business,Professional Service
Bengaluru International Airport - Duty Free Shopping operated by Nuance,411,56410,13.200521994208,77.709225790833,Shopping/Retail,Airport Terminal,Shopping/Retail
Nadaprabhu Kempegowda International Airport,1434,2021,13.200557298677,77.709043219135,Airport,Airport,Airport Terminal
Kempe gowda international airport,490,235,13.00075,77.5497,Tours/Sightseeing,Airport,Tours & Sightseeing
Bangalore International Airport - Terminal-1,8108,251,13.0177791643,77.6687928235,Local Business,Airport,Airport Lounge
Kempgowda International Airport Bangalore,1786,31,13.2021379,77.7008114,Local Business,Airport
Bangalore International Airport,2347,54,13.200765960606,77.70910441,Local Business,Airport
Priority Pass Lounge At Bangalore International Airport,5593,227,13.201035833544,77.709566412314,Local Business,Airport,Airport Lounge
"Bengaluru International Airport, Banglore, Karnataka, India",12051,851,13.201016834072,77.709213149837,Local Business,Airport,City
GAGAN Project-Airport Authority Of India,0,82,12.96753,77.71501,Government Organization,Government Organization
Bangalore International Airport (BLR),7318,312,13.200852984578,77.709270146039,Local Business,Airport Terminal
Vip Deepa Spa 9539724694 Full Service St Time3k in Airport Road,0,56,13.03231,77.58674,Professional Service,Adult Entertainment,Dating Service,Spa
Vip Deepa Spa 9538724694 Full Service St Time3k in Airport Road,0,59,13.04633,77.59874,Professional Service,Adult Entertainment,Dating Service,Escrow Service
KIA Bengaluru,4709,3513,13.200331513246,77.709139185503,Airport,Airport,Airport Terminal,Port
Biaapa Sites Near Airport Chikkajala,39,55,12.83705,77.72366,Real Estate,Business Consultant,Street,Real Estate
"Kempegowda International Airpot,Bengaluru",1864,45,12.93755,77.4965,Airport,Airport
Bengaluru Domestic Terminal,28189,976,13.200963143427,77.709168109382,Local Business,Airport Terminal
Hal Old Airport Road,5153,209,12.9543269647,77.6828270118,Local Business,Airport
Bangalore Airport,430,4,13.20101858125,77.7091826375,Local Business,Airport,Coffee Shop
"Bengaluru International Airport, India - Departure Gate",8365,418,13.2008829,77.709802967391,Local Business,Airport Terminal
Jet Airways Lounge- Bangalore International Airport,11487,1077,13.200916638884,77.709033700107,Local Business,Airport Lounge
"Kempagowda International Airport, Bengaluru",5578,143,12.97358,77.67413,Local Business,Airport
Kampegowda International Airport Bangalore,585,8,13.20027421,77.7088531,Local Business,Airport
Devanahalli International Airport,3739,406,12.9987365142,77.5841319186,Local Business,Airport Terminal,Airport,Airline
Benglore Airport,2133,128,25.4912731,77.0493863,Local Business,Airport
Plaza Premium Lounge Bangalore Domestic Airport,2761,69,13.2010988464,77.708837414539,Local Business,Airport Lounge,Hotel
"Plaza Premium Lounge, Kempegowda International Airport",21278,894,13.200688011286,77.709844588673,Local Business,Airport Lounge
"Airport road,Bangalore",3834,155,12.954976178592,77.650720957231,Local Business,Travel & Transportation
Bangalore International Airport,260,6,12.80139768,77.69554062,Local Business,Airport,Cafe
Kempegowda Banglore Airport,1296,30,13.021941580327,77.58444070816,Local Business,Airport
"Plaza Premium Lounge, Bangalore International Airport",617,21,13.200298963077,77.710496923389,Local Business,Airport Lounge,Hotel
Bangalore International airport (BLR),1600,60,28.6351766522,77.1127222797,Local Business,Airport Terminal,Arts & Entertainment
Taj Bangalore in International Airport,2480,97,13.196956175827,77.710525631181,Local Business,Hotel
Nandi Upachar,2720,684,13.268139852019,77.719487802377,Restaurant/Cafe,Vegetarian & Vegan Restaurant,Highway,Airport
BIAL INTL AIRPORT Bangalore,4569,210,13.19815071005,77.677015008962,Local Business,Airport Terminal,Airline
Old Airport Road Bangalore,2794,70,12.961211991707,77.636943394841,Local Business,Airport
Airport Bangalore,91,2,23.8059151,86.4677691,Local Business,Airport Terminal
Kempagouda International Airport,264,3,12.97923363,77.60252522,Local Business,Airport
"Bangalore Airport,india",372,22,12.963475,77.581435,Local Business,Airport Lounge
"Jakkur Airfield, bangalore",206,4,13.07564,77.60392,Local Business,Airport
Bangalore's Airport Going to Kolkata,82,5,13.20130657,77.70918642,Local Business,Airport
Airport Road Bangalore,523,7,13.04939735,77.60087045,Local Business,Airport
Priya priya,107,2297,13.10212,77.57684,Airport,Airport
Bangalore International Airport Road,469,10,13.013048764188,77.583895257208,Local Business,Travel & Transportation
Bangalore International Airport Lounge,6956,368,13.200852984578,77.709270146039,Local Business,Airport Terminal
Kempagoda Bangalore International  Airport,897,23,13.201224141901,77.709771087413,Local Business,Airport Terminal
Banglore International Airport,16645,855,13.201140158333,77.710210867667,Airport,Airport,Workplace & Office,Restaurant
Bangalore Airport,57,1,13.2014041525,77.708908025,Local Business,Airport Terminal,Airport
Bangalore International Airport Gate 16,356,14,13.201043655019,77.709830132798,Local Business,Airport
Bangluru International Airport,2093,175,12.8444556,77.6620906,Local Business,Travel & Transportation
Bagini Resturant New Airport Road,158,3,13.14580115,77.61825871,Local Business,Airport,Fast Food Restaurant
"Kempegowda International Airport, Bangalore",525,9,12.9171519,77.6715545,Local Business,Airport
Bangalore International Airport Limited,52,0,12.91645969,77.66794978,Local Business,Airport
Bangalore International Airport Road,166,5,13.08548,77.5936,Local Business,Airport
Bangalore Domestic Airport,151,5,13.01179042,77.64791098,Local Business,Airport
"Airport,Bangalore",170,4,12.9950463,77.6680329,Local Business,Airport Terminal,Airport,Outdoors
"Old Airport Road, Bangalore",109,2,22.614192507375,88.401685044248,Local Business,Professional Service,Airport
Bangalore International Airport,56,9,12.9833,77.5833,Airport,Airport
"Bangalore International Airport,India",2,0,-26.270303,28.118091,Local Business,Local Business
Bangalore domestic Airport,1,0,12.892000198364,77.718819618225,Local Business,Local Business
"on the Runway, Bangalore International Airport",375,6,13.200187457393,77.710234683646,Local Business,Convention Center,Travel & Transportation
"Chili's , Old Airport Road , Bangalore",4,0,12.95940458,77.65851897,Local Business,Local Business
domestic airport Bangalore,5,0,12.9374759,77.6245113,Local Business,Local Business
Bangalore International Hong Kong International Airport,2,0,13.200855452118,77.709276379052,Local Business,Local Business
"Larsen And Toubro, Bangalore International Airport",1,3,12.94399,77.6210818,Local Business,Airport Terminal
"Clorks Exotica, Near Bangalore Airport",3,0,12.953025237669,77.536883130742,Local Business,Local Business
Nh-7 Near Bangalore International Airport,1,1,13.1231309,77.6186343,Local Business,Just For Fun
Lost Luggage Department At Bangalore International Airport,2,0,13.200347600717,77.70949178049,Local Business,Luggage Service
Singapore Airlines - Bangalore International Airport.,4,0,13.200409275362,77.709737826087,Local Business,Airline
Bangalore International Airportt,4,0,22.2896,114.15561,Local Business,Airport
Kempagowda International Airport Bangalore,1,1,18.68305,73.72002,Local Business,Local Business
"Cafe Coffee Day, Bangalore International Airport (International Departures)",6,0,12.911617795824,77.479345858469,Local Business,Local Business
"underwater restaurant,near bangalore airport,bangalore",12,1,12.925689936192,77.600547624581,Local Business,Local Business
Bangalore Domestic Airport,1,0,19.081039015517,73.001017570496,Local Business,Airport Lounge
Check In At Bangalore Airport For Mohankeda  Jai Guru Dev,3,1,13.201749790472,77.7121590358,Local Business,Local Business
Cafe Lavazza Bangalore International Airport,7,0,13.01774064964,77.630746598145,Local Business,Coffee Shop
Near Bangalore International Airport,59,6,12.9401436,77.572442,Local Business,Convention Center,Just For Fun,Airport
"Bangalore International Airport, Bangalore",1,0,19.139209725159,72.826404418605,Local Business,Local Business
Bangalore International Airport (BIA),1,0,12.989633943662,79.985316197183,Local Business,Local Business
cafe cofee day Bangalore international airport,6,0,13.16656603,77.63070307,Local Business,Food & Restaurant
Bangalore Airport Construction Site,1,0,13.2339842,77.711086,Local Business,Local Business
Check in at Bangalore airport,2,1,19.112474470588,72.854879882353,Local Business,Local Business
"ALL-WAYS LOGISTICS BANGALORE,OXFORD TOWER,OLD AIRPORT ROAD",13,0,12.959888096426,77.646061565531,Local Business,Local Business
Bangalore Internatinal Airport,3,0,13.15439,77.62168,Local Business,Airport
Bangalore Internatoinal Airport,0,0,21.151828,79.0890017,Local Business,Airport Terminal
Bangalore International Airport Karnataka,2,0,13.18121,77.70994,Local Business,Local Business
"devenhaali,airport bangalore",2,0,12.948075714802,77.71518839939,Local Business,Local Business
Bangalore Kempegowda International Airport,1,0,12.925225700741,100.87076319148,Local Business,Local Business
Airport Bangalore,1,0,13.050759152874,77.505232318606,Local Business,Local Business
"Business Class Lounge, Bangalore International Airport",3,0,12.9597498,77.7499881,Local Business,Airline,Airport Lounge
"Airport Rd Bangalore, 3rd cross Road. Sam's",3,0,12.9595,77.65739,Local Business,Local Business
"Yelahanka new airport,bangalore....!",1,0,13.089397586882,77.634026706219,Local Business,Local Business
At Bangalore international airport,133,1,13.19812156,77.69187667,Local Business,Local Business
"Hotel Royal Orchid At Hal Airport Road, Bangalore",1,0,12.97492156,77.65657401,Local Business,Hotel
Jet Airways at Bangalore International Airport,2,26,12.9833,77.5833,Local Business,Airport
Bangalore International Airport,1,0,13.012125,77.68065,Local Business,Local Business
Mattan in Airport Road Bangalore,0,0,12.960333,77.664284,Local Business,Local Business
Sports Bar Bangalore Airport,3,0,13.200966397938,77.709857271104,Local Business,Sports Bar
"Indianoil Skytanking, Bangalore International Airport",1,0,13.056391967275,77.588178718812,Local Business,Local Business
"Bangalore International Airport, India",5,0,53.423265374514,-6.2538344207952,Local Business,Local Business
"Shulabh Shauchalya, Bangalore Airport",1,0,13.196513,77.708349,Local Business,Local Business
Bangalore International Airport (BIA),1,2,26.789322546374,75.825959232715,Local Business,Local Business
International Airport Bangalore (gate 2),1,0,13.4383,77.72396,Local Business,Airport,Hotel
HCL Old Bangalore Airport,2,1,12.975808141593,77.607193362832,Local Business,Local Business
international airport Bangalore to Mumbai,1,1,12.96249,77.643465,Local Business,Airport
Kempegoda Airport Bangalore,9,0,13.200004,77.7045563,Local Business,Airport
"THE LEELA PALACE 23, Airport Road, Bangalore",2,0,17.417608703704,78.562361419753,Local Business,Local Business
HAL Bangalore international Airport,1,0,27.054441240641,82.510809581804,Local Business,Local Business
"VVIP Terminal, Bangalore Airport",4,0,13.20078,77.7094,Local Business,Local Business
I Am Travelling to Bangalore Airport,1,0,15.13915,76.9665799,Local Business,Campus Building
Bangalore airport to Lucknow,1,0,12.96643,77.58721,Local Business,Local Business
travelling to Mumbai from Bangalore airport,2,0,12.919615,77.61285,Local Business,Local Business
Bangalore airport to Guwahati travel,1,0,13.050696998835,77.739326376468,Local Business,Local Business
kempegowda international airport - Bangalore,2,2,13.196025788784,77.653145827353,Local Business,Airport
"Kempegowda International Airport , Bangalore",1,0,19.334403251942,83.430288657048,Local Business,Airport
Pause II  Lounge @ BIA Bangalore International Airport.,2,0,13.21052,77.70902,Local Business,Local Business
"Eclipse, Leela Palace Hotel",25415,6754,12.960206817069,77.648259856467,Local Business,Night Club,Lounge,Bar
Specific Relocations,0,1337,13.0135098,77.6264038,Cargo & Freight Company,Cargo & Freight Company
Tattoos artist,3,3213,12.97160039,77.66566212,Attractions/Things to Do,Tattoo & Piercing,Makeup Artist
Jobkraft Manpower Recruitment Service,2,2542,12.9613099,77.63654,Consulting/Business Service,Recruiter
Shivoham Shiva Temple,2077,2258,12.95916,77.66194,Church/Religious Organization,Religious Organization,Hindu Temple
Shiv Temple,6555,389,12.958066444444,77.656545444444,Local Business,Religious Center
Matthan Hotel Bangaluru,13433,1558,12.959323855722,77.6485559412,Local Business,Place to Eat/Drink
Roljobs Technology Services Pvt.ltd -Medical Team,2,3855,12.95917,77.66188,Health/Medical/Pharmaceuticals,Professional Service
New Thippasandra,8067,570,12.974652810448,77.651925399834,Local Business,Neighborhood
Hotel Royal Orchid,25226,3790,12.957256385247,77.644069056723,Local Business,Hotel,Bar
Jade 735 - Retreat by Design,2180,10559,12.9586496,77.6454086,Hotel,Hotel,Vacation Home Rental
"Kempfort Shiva Temple, Bangalore",2667,85,12.958103345007,77.65645504712,Local Business,Hindu Temple
AIGA - Asian Institute of Gaming and Animation,196,6894,12.95924,77.657,Education,School,Education
RVM School Of Inspiration,5,3180,12.9833,77.5833,Non-Profit Organization,Non-Profit Organization
Karnataka Golf Association,6419,547,12.956110951258,77.64477102575,Local Business,Golf Course
Easybuy,3,2355,18.433238929798,79.149989271164,Retail and Consumer Merchandise,Women's Clothing Store,Men's Clothing Store
Citrus @ The Leela Palace Bangalore,5588,672,12.961497535899,77.648524965373,Local Business,Hotel
Smart Yarns - Gujaraties,7,6788,12.958366245789,77.66575189395,Shopping/Retail,Women's Clothing Store
Mogra,26,3726,12.9562899,77.7322499,Shopping/Retail,Shopping/Retail
DeThaali,9,1683,12.9585505,77.6652069,Food/Beverages,Health Food Restaurant,Ethnic Grocery Store
New Baldwin International Residential School,1675,2412,13.072189134556,77.73679036969,Education,High School,Education
SVCE Bangalore,798,1973,13.159808599531,77.635831832886,Education,Technical Institute,Education
Jade Garden,1624,134,13.204845855,77.645016928,Local Business,Asian Restaurant
Sunita's. - love dale Beauty saloon & spa Bangalore,6,776,12.9833,77.5833,Spas/Beauty/Personal Care,Spas/Beauty/Personal Care
Economic Transport Organisation Ltd.,0,1502,12.9559002,77.6769867,Cargo & Freight Company,Transportation Service,Cargo & Freight Company,Warehouse
Zaitoon-  Bangalore A treat for your taste buds.,208,431,12.96689,77.62093,Restaurant/Cafe,Restaurant/Cafe
Sugar maammaa,0,686,12.9558199,77.72297,Food/Grocery,Bakery
Geoffrey's Bangalore,319,4295,12.9624409,77.647632,Restaurant/Cafe,Bar,Restaurant,Pub
Liter of Light Bangalore,108,2569,12.95944,77.65186,Non-Profit Organization,Non-Profit Organization
"Manipal Hospital, Bangalore",531,2966,12.96167,77.63476,Health/Medical/Pharmaceuticals,Hospital/Clinic
"National School of Journalism, Bangalore",101,455,13.10117,77.59866,Media/News/Publishing,Broadcasting & Media Production,Technical Institute
Bangalore Ethnic Artisan Store,1,1411,12.9590099,77.66289,Shopping/Retail,Clothing Store
Manipal Hospitals,4734,466103,12.99114,77.58861,Health/Medical/Pharmaceuticals,Hospital/Clinic,Medical Center
Big Pitcher Bangalore,53926,19124,12.960078177683,77.646972858762,Food/Beverages,Pub,Brewery,Bar & Grill
Domlur,5941,435,12.960816666667,77.636130555556,Neighborhood,Neighborhood
Spikeway Technologies,0,18965,12.9587202,77.6644974,Computers/Technology,Web Design
"The Leela Palace,Banglore",17107,1918,12.961109144265,77.648554883843,Local Business,Hotel,Event Venue,Bar & Grill
Kappa Chakka Kandhari,175,7912,12.963095050423,77.70220041275,Food/Beverages,Event,Restaurant
HAL Aerospace Museum,14667,994,12.955431,77.681386,Local Business,History Museum
Sterling's Mac Hotel,12061,1610,12.959518234554,77.648695264684,Hotel,Hotel
Nova IVI Fertility,58,19588,12.95933820748,77.653657940938,Health/Medical/Pharmaceuticals,Clinic
Manipal Global Education,1952,14566,13.084465008593,77.637327543576,Education,Education,Education
Taj Bangalore,3974,1744,13.19952,77.69931,Hotel,Hotel
Kempfort Shiva Temple,12672,748,12.95856910807,77.656637217878,Local Business,Hindu Temple
Pin High PFC,2,1485,12.959937496861,77.644844055176,Outdoor Gear/Sporting Goods,Professional Service
Sir M. Visvesvaraya Institute of Technology,8107,4587,13.15111667,77.60810833,Education,Technical Institute
Leela Palace Hotel,10943,1169,12.960724004446,77.648373982406,Local Business,Hotel,Restaurant
Zaitoon,8559,675,12.959922209969,77.646979496545,Local Business,Food Stand
Pet Stepin',657,13685,12.956366643333,77.648035444167,Organization,Pet Service,Organization
Miras Carpet Industries,22,7131,12.9599852389,77.646063690948,Company,Carpet & Flooring Store
The Vintage Shop,3,5144,12.956639443725,77.649282341766,Shopping/Retail,Furniture Store,Antique Store
Diamond District,10925,701,12.958940073245,77.644133971755,Local Business,Apartment & Condo Building
HAL Airport Area,0,0,12.951670577368,77.669917400519,Neighborhood,Neighborhood
Holy Flames,3362,1490,12.956891406167,77.7090653115,Restaurant/Cafe,Barbecue Restaurant,Bar & Grill
Titan Careers,34,7879,12.948331575175,77.689604759216,Company,Workplace & Office
Big Fix E-Care,7,5078,12.95577,77.72005,Professional Service,Mobile Phone Shop,Repair Service
"We Plan Weddings - Wedding Planners Bangalore, Goa",3,6273,12.96615,77.6488,Event Planner,Wedding Planning,Party Supplies,Event Venue
SigFashion,7,6772,12.956225279888,77.731602239103,Internet/Software,Manufacturing,Fashion Designer
Trisara,41,2266,12.95328,77.55073,Event Planner,Event Venue
